player_id,full_name,gender,age,dominant_hand,backhand_type,fitness_level,years_playing,weekly_training_hours,height_cm,matches_played,matches_won,success_rate
P1000,Ido Katz,male,17,right,one_handed,4.0,5.9,5.4,175.5,74,56,75.2
P1001,Daniel Katz,male,21,right,two_handed,7.0,4.1,4.4,167.9,99,76,77.1
P1002,Noam Friedman,male,28,right,two_handed,10.0,3.9,3.2,181.6,117,100,85.4
P1003,Amit Friedman,male,40,right,two_handed,3.0,3.1,11.5,164.6,44,26,59.0
P1004,Hila Levi,female,20,left,one_handed,4.0,2.6,1.8,160.8,14,9,67.3
P1005,Lior Peretz,female,27,right,two_handed,6.0,7.1,1.9,163.2,25,17,68.5
P1006,Amit Cohen,male,26,right,two_handed,5.0,5.9,2.2,181.7,40,29,71.9
P1007,Guy Friedman,male,33,left,two_handed,5.0,0.7,0.6,173.8,91,60,66.3
P1008,Noam Mizrahi,male,37,right,two_handed,4.0,1.4,9.8,177.4,94,59,63.1
P1009,Eitan Mizrahi,male,54,right,one_handed,1.0,9.1,1.1,178.3,56,20,35.2
P1010,Eitan Azoulay,male,54,right,two_handed,5.0,5.1,3.0,176.5,102,51,50.2
P1011,Guy Shapira,male,26,right,,9.0,4.0,4.1,174.4,100,90,90.0
P1012,Yotam Shapira,male,40,left,,3.0,4.2,2.0,168.1,107,53,49.4
P1013,Eitan Katz,male,40,left,two_handed,5.0,4.2,6.2,178.2,98,59,60.6
P1014,Yotam Katz,male,37,right,one_handed,7.0,6.5,4.6,169.4,81,52,63.6
P1015,Guy Avraham,male,40,right,two_handed,,3.6,11.9,,10,7,70.3
P1016,Ariel Peretz,male,28,,one_handed,,0.9,4.7,178.4,68,48,71.3
P1017,Daniel Friedman,male,14,right,,8.0,7.1,13.6,163.3,81,69,85.3
P1018,Guy Biton,male,114,right,two_handed,8.0,0.2,5.8,221.1,78,61,78.0
P1019,Hila Peretz,female,31,left,two_handed,,1.4,3.1,151.3,67,52,77.9
P1020,Ariel Cohen,male,14,right,one_handed,6.0,0.8,7.0,165.5,46,29,63.9
P1021,Yotam Friedman,male,26,right,two_handed,7.0,3.0,2.5,181.4,46,34,74.3
P1022,Gal Levi,female,33,right,two_handed,10.0,5.2,6.1,162.4,72,58,80.7
P1023,Ariel Shapira,male,23,right,two_handed,4.0,5.7,3.8,176.7,44,33,75.8
P1024,Omer Katz,male,56,right,one_handed,7.0,3.7,7.9,175.0,29,19,66.2
P1025,Noa Katz,female,39,right,one_handed,6.0,4.8,7.7,152.0,22,13,57.5
P1026,Adi Avraham,female,36,right,two_handed,2.0,4.7,6.1,156.3,63,37,58.1
P1027,Noam Peretz,male,14,right,two_handed,5.0,3.4,0.7,158.8,63,34,53.7
P1028,Omer Cohen,male,22,right,,5.0,7.4,6.7,169.4,65,46,70.6
P1029,Ron Shapira,male,16,right,two_handed,1.0,13.2,4.6,181.8,13,8,58.3
P1030,Tamar Avraham,female,39,right,two_handed,7.0,5.2,6.4,161.6,11,6,58.3
P1031,Shira Avraham,female,10,right,one_handed,7.0,8.4,7.1,148.6,60,40,66.0
P1032,Eitan Peretz,male,58,right,two_handed,8.0,7.1,2.6,171.7,49,28,57.4
P1033,Noa Mizrahi,female,36,right,two_handed,2.0,5.8,,178.6,43,25,58.2
P1034,Noa Azoulay,female,34,,two_handed,9.0,0.5,2.9,173.9,77,53,68.8
P1035,Shira Cohen,female,44,right,two_handed,1.0,8.4,1.6,165.1,107,41,38.3
P1036,Yotam Avraham,male,15,right,two_handed,5.0,1.1,1.2,,99,55,55.7
P1037,Adi Friedman,female,24,right,one_handed,6.0,4.3,11.8,156.1,48,35,73.7
P1038,Ron Azoulay,male,31,right,two_handed,7.0,2.3,5.1,184.3,17,12,71.2
P1039,Shira Katz,female,31,right,two_handed,5.0,2.1,2.4,164.8,60,39,64.7
P1040,Hila Levi,female,19,right,two_handed,2.0,1.9,3.5,150.9,36,22,59.8
P1041,Tamar Cohen,female,23,right,two_handed,6.0,7.6,1.1,,91,66,73.0
P1042,Gal Peretz,female,25,right,two_handed,5.0,2.8,4.3,148.5,105,80,76.4
P1043,Maya Mizrahi,female,24,right,,6.0,4.2,4.7,169.8,58,41,70.1
P1044,Eitan Azoulay,male,42,right,two_handed,6.0,4.2,2.6,170.3,17,10,60.7
P1045,Noa Biton,female,37,,two_handed,7.0,4.0,,,78,40,50.8
P1046,Yael Azoulay,female,33,right,two_handed,5.0,12.7,2.4,159.9,76,46,60.0
P1047,Noam Katz,male,21,right,one_handed,,4.0,3.5,185.8,106,88,83.1
P1048,Omer Avraham,male,25,right,two_handed,4.0,5.5,4.1,,101,71,70.1
P1049,Lior Biton,female,28,right,two_handed,7.0,8.4,,163.6,102,69,67.5
P1050,Noa Friedman,female,19,,two_handed,6.0,1.5,,157.5,75,50,66.8
P1051,Noam Azoulay,male,13,right,two_handed,5.0,4.2,1.2,158.9,58,34,58.0
P1052,Noam Katz,male,30,right,two_handed,9.0,6.4,7.7,169.9,76,66,87.2
P1053,Yael Katz,female,8,right,two_handed,5.0,10.3,,149.9,78,38,48.6
P1054,Omer Katz,male,18,,one_handed,,1.4,9.1,186.0,28,22,78.9
P1055,Ido Peretz,male,8,right,two_handed,10.0,3.4,0.5,,100,71,71.0
P1056,Daniel Azoulay,male,124,right,one_handed,10.0,9.8,8.1,223.9,118,88,74.9
P1057,Daniel Cohen,male,116,right,one_handed,9.0,2.4,3.6,224.6,109,76,69.5
P1058,Daniel Biton,male,12,right,two_handed,,4.0,3.2,168.6,82,48,58.1
P1059,Ron Azoulay,male,12,right,two_handed,9.0,1.7,2.6,170.8,79,54,68.8
P1060,Omer Biton,male,54,right,one_handed,9.0,3.2,6.9,,18,12,68.1
P1061,Ido Biton,male,15,left,two_handed,9.0,3.6,6.5,178.5,80,62,77.5
P1062,Adi Friedman,female,14,right,two_handed,10.0,5.2,9.4,174.2,115,84,73.3
P1063,Hila Peretz,female,20,right,one_handed,6.0,8.4,6.5,161.8,42,34,81.8
P1064,Yael Levi,female,14,right,two_handed,5.0,5.2,5.1,156.4,16,12,73.2
P1065,Yotam Cohen,male,26,,one_handed,6.0,2.1,5.6,180.2,50,36,71.0
P1066,Noa Azoulay,female,47,right,two_handed,,9.0,0.6,162.0,91,40,44.0
P1067,Ariel Avraham,male,59,right,two_handed,8.0,59.6,45.7,179.3,59,35,60.1
P1068,Guy Peretz,male,19,right,one_handed,7.0,4.7,4.6,169.5,86,70,81.0
P1069,Roni Mizrahi,female,25,right,,4.0,3.5,3.1,181.9,115,70,61.0
P1070,Ido Mizrahi,male,46,right,two_handed,6.0,11.0,3.0,176.0,65,33,50.6
P1071,Ido Peretz,male,29,right,two_handed,3.0,6.9,3.8,162.5,62,44,70.6
P1072,Guy Peretz,male,19,right,two_handed,6.0,9.8,1.5,176.4,81,56,69.2
P1073,Ariel Katz,male,45,right,two_handed,7.0,6.3,,175.2,115,65,56.2
P1074,Omer Azoulay,male,49,right,,6.0,5.6,8.0,164.9,92,48,52.4
P1075,Guy Avraham,male,22,,two_handed,,1.8,4.5,165.4,118,98,83.0
P1076,Amit Azoulay,male,36,right,two_handed,7.0,6.0,1.9,179.1,51,34,65.8
P1077,Gal Friedman,female,54,right,one_handed,5.0,5.4,5.4,164.1,79,47,58.9
P1078,Noa Mizrahi,female,12,right,two_handed,7.0,4.2,3.8,,15,10,63.4
P1079,Eitan Shapira,male,8,right,two_handed,7.0,10.0,5.2,,19,12,64.2
P1080,Shira Katz,female,21,right,one_handed,9.0,2.0,2.4,162.1,115,81,70.3
P1081,Adi Friedman,female,16,right,two_handed,9.0,3.8,1.3,159.5,15,10,66.6
P1082,Noam Avraham,male,37,right,two_handed,7.0,14.4,4.3,174.6,68,41,60.1
P1083,Noa Peretz,female,28,right,two_handed,6.0,6.1,1.8,171.9,37,23,62.2
P1084,Eitan Peretz,male,42,left,,7.0,2.5,5.6,173.4,10,6,59.7
P1085,Amit Peretz,male,34,right,two_handed,3.0,3.2,8.8,179.6,40,28,71.2
P1086,Hila Shapira,female,29,right,two_handed,9.0,2.7,10.6,174.9,34,31,91.6
P1087,Omer Cohen,male,20,right,one_handed,6.0,0.6,13.7,198.6,103,83,80.2
P1088,Omer Katz,male,8,right,two_handed,5.0,5.8,8.4,153.7,76,50,65.9
P1089,Ariel Biton,male,15,right,two_handed,7.0,4.6,5.2,170.1,92,68,73.6
P1090,Ido Friedman,male,25,right,two_handed,9.0,2.9,2.1,,17,15,85.5
P1091,Roni Mizrahi,female,19,right,two_handed,7.0,3.3,7.5,167.4,58,46,79.4
P1092,Yael Peretz,female,34,right,two_handed,5.0,14.2,,158.8,48,28,58.1
P1093,Lior Biton,female,25,right,one_handed,5.0,2.3,2.2,160.3,69,42,60.9
P1094,Shira Azoulay,female,60,left,one_handed,9.0,1.6,2.0,173.1,46,25,54.7
P1095,Ron Katz,male,31,left,two_handed,7.0,5.6,7.0,178.6,16,12,76.5
P1096,Noam Avraham,male,8,right,one_handed,3.0,3.6,5.8,147.8,66,33,50.1
P1097,Yael Katz,female,27,right,two_handed,7.0,2.2,11.2,165.3,46,39,83.9
P1098,Ido Azoulay,male,31,right,two_handed,4.0,5.9,23.3,178.6,118,107,90.3
P1099,Ron Mizrahi,male,39,right,one_handed,7.0,5.9,3.4,179.0,57,39,68.9
P1100,Ron Levi,male,30,right,,6.0,4.9,4.5,167.8,28,19,68.9
P1101,Lior Katz,female,18,right,one_handed,9.0,4.8,,157.9,116,96,83.1
P1102,Adi Azoulay,female,39,right,two_handed,8.0,3.4,1.0,152.9,102,64,63.0
P1103,Ido Mizrahi,male,22,right,two_handed,7.0,59.1,59.4,170.7,100,85,85.1
P1104,Tamar Levi,female,33,left,two_handed,6.0,1.9,0.4,172.0,44,26,59.8
P1105,Guy Shapira,male,24,right,two_handed,5.0,3.3,6.9,167.1,115,92,79.8
P1106,Tamar Friedman,female,46,right,two_handed,4.0,7.1,3.5,167.8,91,41,44.7
P1107,Yael Shapira,female,35,right,two_handed,4.0,0.9,7.9,161.9,55,34,61.0
P1108,Roni Katz,female,16,,two_handed,6.0,0.8,1.9,177.9,102,64,62.8
P1109,Eitan Mizrahi,male,33,left,two_handed,1.0,7.9,3.7,185.6,50,33,65.9
P1110,Lior Biton,female,29,right,,4.0,5.7,1.1,177.3,63,44,70.5
P1111,Ron Biton,male,8,right,two_handed,5.0,3.5,,159.4,37,21,56.6
P1112,Guy Avraham,male,29,right,two_handed,6.0,4.1,5.4,172.6,85,61,72.1
P1113,Omer Cohen,male,17,left,two_handed,5.0,17.8,5.4,179.2,93,69,74.1
P1114,Noam Katz,male,31,right,,5.0,13.9,2.5,183.9,98,71,72.5
P1115,Adi Biton,female,19,right,,6.0,6.2,8.0,156.3,47,38,79.9
P1116,Amit Friedman,male,17,right,one_handed,5.0,4.9,3.7,180.9,103,63,61.6
P1117,Noam Shapira,male,31,right,one_handed,5.0,7.5,2.2,170.8,95,56,59.4
P1118,Noa Cohen,female,52,right,two_handed,5.0,1.5,1.7,152.5,105,36,34.0
P1119,Noa Peretz,female,36,right,,5.0,1.9,1.0,163.1,52,27,52.8
P1120,Omer Friedman,male,29,right,two_handed,8.0,9.9,4.2,167.1,30,27,90.4
P1121,Maya Biton,female,40,right,two_handed,5.0,10.8,2.0,,82,48,58.0
P1122,Ron Levi,male,18,left,two_handed,4.0,5.8,9.8,188.6,34,29,84.5
P1123,Adi Biton,female,47,left,one_handed,5.0,10.8,12.1,157.6,52,41,77.9
P1124,Amit Biton,male,17,right,two_handed,4.0,1.8,9.8,165.0,53,36,68.6
P1125,Tamar Mizrahi,female,11,left,two_handed,6.0,5.0,0.6,144.6,52,31,58.7
P1126,Maya Cohen,female,29,left,two_handed,10.0,2.1,3.3,162.4,16,14,87.7
P1127,Gal Levi,female,46,right,two_handed,7.0,1.3,,165.4,57,30,53.0
P1128,Hila Cohen,female,50,right,two_handed,6.0,8.1,4.3,169.6,115,62,53.7
P1129,Guy Cohen,male,33,left,two_handed,4.0,6.0,1.2,166.1,80,52,65.6
P1130,Hila Friedman,female,38,right,two_handed,6.0,4.6,,,24,13,56.2
P1131,Adi Cohen,female,26,right,two_handed,5.0,1.1,7.0,155.4,21,16,76.7
P1132,Gal Shapira,female,46,right,two_handed,4.0,1.3,0.9,161.6,111,36,32.0
P1133,Guy Katz,male,29,right,two_handed,5.0,0.5,7.1,179.4,87,67,76.9
P1134,Omer Mizrahi,male,42,right,two_handed,6.0,4.4,1.2,181.1,30,18,58.6
P1135,Daniel Peretz,male,22,right,two_handed,6.0,4.6,2.8,172.4,82,64,77.8
P1136,Noa Katz,female,35,right,one_handed,5.0,5.3,7.2,,44,28,64.0
P1137,Ron Avraham,male,8,,two_handed,6.0,2.8,13.0,161.1,109,68,62.3
P1138,Ido Biton,male,24,right,two_handed,7.0,5.8,9.5,166.3,18,15,81.4
P1139,Guy Peretz,male,13,left,,7.0,7.6,,160.5,90,71,79.0
P1140,Yotam Levi,male,18,,one_handed,7.0,3.8,3.9,179.2,119,90,75.3
P1141,Amit Mizrahi,male,29,right,one_handed,5.0,1.2,2.9,173.0,98,70,71.4
P1142,Tamar Katz,female,19,right,two_handed,2.0,6.3,5.9,158.9,119,74,62.6
P1143,Ido Mizrahi,male,40,right,,4.0,5.1,0.4,181.3,81,35,42.9
P1144,Tamar Katz,female,54,right,one_handed,8.0,2.3,4.7,160.8,52,26,49.6
P1145,Omer Cohen,male,36,right,two_handed,7.0,6.2,6.1,176.2,42,31,72.9
P1146,Shira Katz,female,17,right,one_handed,9.0,6.8,1.8,164.5,105,65,61.7
P1147,Ron Avraham,male,22,left,two_handed,7.0,2.3,1.5,183.8,20,15,76.6
P1148,Shira Azoulay,female,21,left,,8.0,3.6,5.3,155.9,63,48,75.4
P1149,Eitan Cohen,male,32,right,two_handed,4.0,4.5,11.5,187.1,89,71,79.8
P1150,Omer Friedman,male,38,right,two_handed,5.0,4.6,2.4,,47,24,50.5
P1151,Gal Peretz,female,26,,two_handed,7.0,4.9,,171.2,36,28,76.5
P1152,Ariel Friedman,male,32,right,one_handed,5.0,3.6,4.1,167.8,56,35,62.5
P1153,Yotam Friedman,male,8,right,two_handed,7.0,3.4,4.0,149.1,113,61,53.7
P1154,Gal Shapira,female,15,right,one_handed,2.0,3.1,1.7,154.7,49,21,42.4
P1155,Tamar Mizrahi,female,46,right,one_handed,5.0,6.8,1.8,173.3,36,20,54.9
P1156,Yael Cohen,female,26,right,two_handed,10.0,6.9,3.3,165.4,46,38,83.4
P1157,Guy Shapira,male,23,right,two_handed,4.0,5.1,1.8,159.4,32,21,66.1
P1158,Roni Friedman,female,35,right,one_handed,9.0,19.3,5.2,171.0,114,94,82.7
P1159,Maya Biton,female,42,right,one_handed,9.0,6.0,4.3,161.0,109,74,68.2
P1160,Shira Mizrahi,female,39,right,two_handed,8.0,12.8,5.4,167.9,29,18,62.5
P1161,Shira Levi,female,23,right,two_handed,6.0,6.0,2.3,171.9,104,66,63.9
P1162,Yotam Levi,male,33,right,two_handed,9.0,2.3,4.9,175.3,76,55,71.8
P1163,Amit Levi,male,32,right,one_handed,7.0,7.5,0.6,180.7,112,80,71.2
P1164,Ron Cohen,male,23,right,two_handed,6.0,4.4,4.8,175.8,49,40,82.5
P1165,Shira Peretz,female,29,right,two_handed,5.0,16.4,2.2,179.8,66,49,74.6
P1166,Hila Biton,female,19,right,two_handed,5.0,2.7,6.8,173.4,28,21,74.8
P1167,Lior Biton,female,27,right,,,3.4,3.4,173.0,59,48,81.1
P1168,Omer Levi,male,19,right,two_handed,7.0,6.2,5.2,161.5,17,14,80.4
P1169,Ariel Katz,male,19,right,two_handed,8.0,8.3,7.3,178.4,56,49,88.3
P1170,Omer Biton,male,28,right,two_handed,2.0,52.8,65.6,169.1,56,33,59.6
P1171,Ido Biton,male,29,left,two_handed,9.0,8.1,,,43,35,81.8
P1172,Gal Shapira,female,49,right,two_handed,3.0,8.1,0.5,178.9,71,33,46.1
P1173,Shira Peretz,female,44,right,,4.0,9.6,2.5,171.3,111,57,51.7
P1174,Ron Avraham,male,27,right,one_handed,9.0,10.3,3.2,176.2,59,47,79.4
P1175,Noam Friedman,male,12,right,two_handed,4.0,4.0,2.0,166.1,98,46,46.7
P1176,Adi Friedman,female,38,right,two_handed,6.0,8.5,5.3,162.8,104,70,67.7
P1177,Yael Katz,female,10,left,two_handed,4.0,11.3,2.0,143.9,103,45,44.0
