player_id,full_name,gender,age,dominant_hand,backhand_type,fitness_level,years_playing,weekly_training_hours,height_cm,matches_played,matches_won,success_rate
P1000,Maya Katz,female,40,right,two_handed,10.0,4.9,,164.1,81,61,74.9
P1001,Yotam Levi,male,29,right,two_handed,5.0,5.0,,162.5,31,19,61.7
P1002,Ariel Shapira,male,20,right,two_handed,8.0,2.0,1.8,,96,61,63.5
P1003,Daniel Katz,male,13,,two_handed,5.0,3.7,8.2,159.2,61,39,64.6
P1004,Eitan Peretz,male,21,right,two_handed,,4.4,3.0,177.5,20,15,73.2
P1005,Roni Cohen,female,20,right,one_handed,8.0,2.6,5.4,173.9,90,62,68.7
P1006,Tamar Katz,female,46,right,two_handed,4.0,1.6,3.2,169.3,56,24,42.1
P1007,Ido Mizrahi,male,48,right,one_handed,8.0,5.8,9.5,,59,40,67.6
P1008,Gal Friedman,female,40,right,one_handed,6.0,6.8,0.5,161.5,38,21,56.4
P1009,Adi Biton,female,26,right,two_handed,3.0,0.4,10.8,155.5,13,9,70.5
P1010,Ido Peretz,male,36,,two_handed,5.0,1.1,4.2,166.9,39,22,57.4
P1011,Eitan Biton,male,37,right,one_handed,10.0,3.6,6.3,176.2,43,38,88.4
P1012,Noam Avraham,male,17,left,two_handed,7.0,4.8,10.8,185.3,84,60,71.3
P1013,Noam Azoulay,male,20,right,,6.0,3.6,3.0,,14,9,65.6
P1014,Noa Biton,female,31,right,two_handed,7.0,1.7,1.9,164.6,51,34,66.5
P1015,Yotam Cohen,male,20,right,one_handed,,4.9,2.2,184.9,78,54,69.4
P1016,Lior Cohen,female,17,right,two_handed,9.0,5.6,1.1,172.6,40,29,73.4
P1017,Maya Levi,female,24,right,two_handed,5.0,5.8,3.4,153.3,112,80,71.3
P1018,Amit Azoulay,male,54,right,two_handed,9.0,8.8,6.4,169.2,28,20,70.5
P1019,Yotam Avraham,male,18,left,two_handed,5.0,1.6,2.1,166.9,84,57,68.4
P1020,Lior Levi,female,15,left,two_handed,6.0,3.2,5.7,165.2,68,50,73.9
P1021,Adi Peretz,female,33,right,two_handed,,5.4,4.1,157.8,72,56,77.1
P1022,Roni Levi,female,21,right,two_handed,5.0,5.5,1.6,156.8,49,38,76.9
P1023,Tamar Friedman,female,24,right,two_handed,5.0,14.7,6.8,158.3,67,60,89.4
P1024,Guy Shapira,male,31,right,two_handed,5.0,4.7,3.2,154.2,52,40,77.2
P1025,Yael Katz,female,39,right,two_handed,9.0,6.3,5.0,156.4,86,58,66.9
P1026,Shira Avraham,female,34,right,two_handed,5.0,4.1,4.2,161.9,19,11,59.1
P1027,Ariel Friedman,male,22,,two_handed,4.0,7.6,5.2,182.3,67,47,70.8
P1028,Adi Katz,female,20,right,two_handed,5.0,9.1,3.5,163.0,113,71,63.0
P1029,Yotam Mizrahi,male,8,left,two_handed,,5.3,0.6,129.4,25,14,57.4
P1030,Yael Biton,female,36,left,one_handed,5.0,5.2,4.9,163.7,97,61,63.1
P1031,Yael Friedman,female,23,right,two_handed,6.0,16.5,4.7,176.3,34,28,83.8
P1032,Daniel Levi,male,17,right,two_handed,8.0,6.0,2.0,164.5,57,39,69.1
P1033,Tamar Friedman,female,27,right,one_handed,1.0,3.6,4.3,162.9,52,32,62.1
P1034,Maya Cohen,female,15,right,two_handed,3.0,1.4,1.5,164.3,82,31,37.2
P1035,Noa Peretz,female,17,left,two_handed,,2.1,9.7,161.3,37,27,73.8
P1036,Noa Levi,female,17,right,,6.0,2.5,7.8,170.6,62,42,67.9
