player_id,full_name,gender,age,dominant_hand,backhand_type,fitness_level,years_playing,weekly_training_hours,height_cm,matches_played,matches_won,success_rate
P1000,Ido Peretz,male,16,right,one_handed,8.0,3.8,4.3,171.0,109,74,67.8
P1001,Noam Levi,male,28,right,two_handed,10.0,6.9,4.8,170.6,14,12,85.8
P1002,Noa Biton,female,21,right,one_handed,3.0,1.4,3.2,172.5,80,52,64.9
P1003,Noam Mizrahi,male,40,right,two_handed,8.0,3.5,8.7,191.0,44,32,73.3
P1004,Yotam Shapira,male,33,left,two_handed,9.0,7.0,2.9,160.0,55,44,80.4
P1005,Maya Friedman,female,10,left,,7.0,6.1,1.3,155.6,93,54,58.4
P1006,Tamar Avraham,female,30,right,two_handed,5.0,1.5,3.9,152.2,89,64,71.5
P1007,Gal Biton,female,35,right,two_handed,3.0,1.5,4.9,159.9,68,35,52.0
P1008,Hila Avraham,female,45,right,two_handed,7.0,5.4,5.7,174.2,61,31,51.5
P1009,Guy Azoulay,male,27,,two_handed,2.0,1.1,5.5,182.0,111,65,58.2
P1010,Amit Avraham,male,26,right,two_handed,3.0,6.5,5.9,182.5,86,60,69.7
P1011,Gal Friedman,female,33,right,two_handed,7.0,4.9,2.2,,26,16,60.8
P1012,Guy Avraham,male,29,right,one_handed,5.0,3.6,13.1,165.5,19,14,74.8
P1013,Hila Avraham,female,19,right,one_handed,5.0,4.5,6.3,163.0,12,9,74.4
P1014,Yotam Peretz,male,8,right,two_handed,2.0,2.4,5.1,129.2,86,36,41.5
P1015,Hila Azoulay,female,12,right,two_handed,7.0,14.3,4.3,153.9,64,45,70.5
P1016,Shira Avraham,female,15,right,two_handed,,3.7,6.3,175.0,117,69,58.7
P1017,Lior Avraham,female,40,left,two_handed,4.0,3.6,1.8,172.0,76,41,53.6
P1018,Noam Avraham,male,31,right,two_handed,,3.6,,172.9,57,32,56.5
P1019,Daniel Mizrahi,male,31,right,,9.0,8.4,0.9,177.5,42,33,78.5
P1020,Yotam Levi,male,26,right,two_handed,8.0,2.3,,184.2,85,68,80.1
P1021,Adi Cohen,female,11,right,one_handed,7.0,4.6,3.6,145.0,15,8,55.3
P1022,Ron Friedman,male,40,right,one_handed,3.0,1.6,2.7,161.6,89,37,42.0
P1023,Ron Azoulay,male,33,right,two_handed,7.0,1.4,3.6,176.4,103,65,62.9
P1024,Tamar Azoulay,female,16,right,two_handed,7.0,0.6,3.7,,113,71,62.7
P1025,Noam Peretz,male,22,right,,,5.2,1.8,173.6,116,76,65.9
P1026,Shira Friedman,female,30,right,one_handed,5.0,1.4,3.0,173.4,28,21,73.9
P1027,Roni Levi,female,12,right,two_handed,5.0,47.4,42.2,160.6,52,34,65.3
P1028,Noa Friedman,female,43,right,,6.0,3.5,4.2,170.4,78,40,51.3
P1029,Guy Mizrahi,male,18,,two_handed,5.0,7.1,2.9,,22,14,64.5
P1030,Noa Azoulay,female,37,right,two_handed,7.0,2.0,8.6,163.8,30,21,69.9
P1031,Maya Azoulay,female,24,,two_handed,8.0,9.2,10.1,172.7,112,108,96.2
P1032,Eitan Mizrahi,male,34,right,two_handed,10.0,6.5,3.0,163.9,63,44,70.1
P1033,Yael Mizrahi,female,8,right,two_handed,5.0,0.7,5.7,145.4,66,34,51.8
P1034,Noa Shapira,female,24,right,two_handed,5.0,4.2,7.2,161.1,70,56,80.1
P1035,Eitan Biton,male,23,right,two_handed,3.0,3.8,4.2,,78,52,66.7
P1036,Maya Azoulay,female,25,right,two_handed,8.0,3.4,3.0,160.7,84,69,82.0
P1037,Guy Shapira,male,8,right,two_handed,,4.4,2.3,142.4,79,58,73.3
P1038,Ido Levi,male,10,,two_handed,,6.4,1.4,154.1,52,32,61.1
P1039,Shira Cohen,female,36,right,one_handed,7.0,1.7,1.9,179.9,20,12,62.2
P1040,Adi Levi,female,29,right,two_handed,8.0,3.2,3.0,164.0,13,10,79.7
P1041,Guy Shapira,male,19,,two_handed,6.0,5.5,,179.8,42,29,69.9
P1042,Yael Biton,female,40,right,,2.0,3.3,1.9,174.9,91,40,44.4
P1043,Yael Cohen,female,43,right,one_handed,9.0,4.8,4.3,176.8,59,39,66.0
P1044,Amit Azoulay,male,32,right,two_handed,4.0,14.6,1.3,198.3,10,7,71.6
P1045,Daniel Friedman,male,8,left,one_handed,9.0,3.3,5.4,157.2,88,63,71.4
