player_id,full_name,gender,age,dominant_hand,backhand_type,fitness_level,years_playing,weekly_training_hours,height_cm,matches_played,matches_won,success_rate
P1000,Lior Azoulay,female,21,right,two_handed,5.0,5.2,2.1,178.2,104,76,72.7
P1001,Noa Cohen,female,28,right,one_handed,2.0,2.1,0.6,150.8,107,69,64.5
P1002,Adi Mizrahi,female,43,left,two_handed,4.0,10.9,,164.0,42,25,60.3
P1003,Adi Mizrahi,female,26,right,two_handed,4.0,3.5,2.4,148.1,96,62,64.5
P1004,Roni Katz,female,26,left,two_handed,5.0,12.3,2.6,155.8,31,24,77.9
P1005,Amit Biton,male,23,right,two_handed,,17.3,4.6,180.7,101,91,90.3
P1006,Shira Azoulay,female,23,right,one_handed,5.0,4.4,8.4,187.9,36,25,70.6
P1007,Daniel Mizrahi,male,31,right,one_handed,1.0,6.0,4.2,176.1,15,8,56.4
P1008,Ariel Peretz,male,30,right,two_handed,5.0,4.3,3.5,163.4,32,23,71.2
P1009,Amit Katz,male,28,right,one_handed,8.0,2.4,10.4,176.8,91,83,90.9
P1010,Yotam Biton,male,31,left,two_handed,7.0,3.5,8.5,189.1,28,23,80.7
P1011,Hila Mizrahi,female,23,right,one_handed,4.0,3.0,,150.2,27,19,68.6
P1012,Hila Avraham,female,37,left,one_handed,6.0,8.4,4.4,154.6,110,78,70.6
P1013,Lior Katz,female,8,right,one_handed,7.0,2.5,,148.9,99,64,65.0
P1014,Hila Cohen,female,46,right,two_handed,8.0,4.4,3.4,164.7,63,40,62.8
P1015,Ron Levi,male,19,,one_handed,5.0,7.3,0.5,184.0,11,8,74.8
P1016,Roni Levi,female,28,right,two_handed,10.0,6.7,4.5,156.6,53,44,83.4
P1017,Shira Avraham,female,44,right,two_handed,8.0,6.6,7.1,171.6,70,47,67.7
P1018,Amit Mizrahi,male,8,,two_handed,8.0,4.2,7.4,,44,30,67.6
P1019,Roni Mizrahi,female,24,right,two_handed,7.0,2.3,4.0,170.5,104,94,90.5
P1020,Noa Azoulay,female,34,right,two_handed,5.0,1.1,0.7,156.1,30,13,44.4
P1021,Omer Levi,male,25,right,two_handed,9.0,3.2,1.8,168.6,89,70,78.3
P1022,Gal Mizrahi,female,21,right,two_handed,7.0,3.7,5.3,163.1,17,14,84.7
P1023,Ariel Avraham,male,36,right,one_handed,6.0,7.4,3.0,164.3,82,57,69.6
P1024,Tamar Mizrahi,female,29,right,two_handed,7.0,0.8,8.3,,48,35,73.8
P1025,Ron Shapira,male,28,right,two_handed,8.0,2.9,4.1,177.3,53,42,79.3
P1026,Yael Cohen,female,36,,one_handed,6.0,0.9,2.2,151.2,72,36,49.6
P1027,Guy Friedman,male,13,right,two_handed,10.0,2.6,10.7,165.8,26,19,74.6
P1028,Noam Avraham,male,32,left,one_handed,,6.1,2.7,172.8,53,33,62.8
P1029,Maya Avraham,female,23,right,one_handed,8.0,3.9,1.8,165.7,79,61,77.2
P1030,Amit Peretz,male,33,right,,7.0,0.8,0.3,175.6,23,14,59.6
P1031,Daniel Avraham,male,20,right,one_handed,7.0,1.5,6.0,186.1,33,26,79.3
P1032,Ron Mizrahi,male,43,right,two_handed,3.0,12.0,2.6,166.4,112,56,50.3
P1033,Tamar Mizrahi,female,26,right,two_handed,4.0,51.6,65.5,169.9,52,33,63.9
P1034,Maya Cohen,female,34,left,two_handed,,12.4,7.4,173.4,90,68,75.4
P1035,Ariel Avraham,male,11,,two_handed,10.0,6.3,7.6,176.9,79,66,83.4
P1036,Yotam Katz,male,31,right,two_handed,7.0,0.8,0.8,164.9,45,31,69.5
P1037,Tamar Katz,female,21,right,two_handed,4.0,11.2,5.4,169.2,17,13,73.9
P1038,Ido Mizrahi,male,45,right,two_handed,3.0,2.0,4.8,168.1,87,35,39.7
P1039,Ariel Friedman,male,25,right,two_handed,5.0,3.6,2.4,171.5,21,17,81.0
P1040,Adi Levi,female,19,right,,,14.4,5.5,155.7,115,88,76.6
P1041,Guy Peretz,male,31,right,two_handed,8.0,4.2,1.0,158.5,60,39,64.9
P1042,Yotam Friedman,male,43,,one_handed,5.0,1.2,2.2,168.9,46,24,51.3
P1043,Roni Levi,female,34,right,one_handed,5.0,11.4,,161.4,72,44,61.5
P1044,Yael Levi,female,36,right,one_handed,4.0,1.9,,,45,23,50.2
