player_id,full_name,gender,age,dominant_hand,backhand_type,fitness_level,years_playing,weekly_training_hours,height_cm,matches_played,matches_won,success_rate
P1000,Lior Katz,female,22,right,two_handed,7.0,6.0,10.4,157.1,47,40,85.5
P1001,Ido Biton,male,23,right,one_handed,5.0,6.2,,179.1,12,9,78.7
P1002,Yael Avraham,female,44,right,two_handed,2.0,8.7,5.7,183.2,108,61,56.9
P1003,Noa Azoulay,female,16,right,one_handed,8.0,4.6,3.2,166.6,36,24,67.4
P1004,Daniel Azoulay,male,8,right,one_handed,9.0,7.2,1.9,145.8,103,62,60.2
P1005,Noa Avraham,female,47,right,two_handed,9.0,8.7,7.1,168.3,88,66,75.4
P1006,Yael Avraham,female,59,right,two_handed,,1.4,3.2,161.2,35,20,56.3
P1007,Yael Shapira,female,23,right,two_handed,6.0,16.5,0.6,153.8,93,74,79.8
P1008,Yotam Azoulay,male,8,right,one_handed,9.0,11.0,6.4,157.6,18,12,69.3
P1009,Guy Katz,male,24,,one_handed,9.0,0.9,4.6,184.9,53,44,83.0
P1010,Daniel Cohen,male,25,right,two_handed,8.0,5.4,3.9,173.5,49,40,82.0
P1011,Tamar Peretz,female,26,right,two_handed,4.0,2.1,1.2,162.0,82,50,60.9
P1012,Roni Shapira,female,15,left,two_handed,6.0,6.8,4.2,154.3,68,47,68.6
P1013,Yael Katz,female,35,right,,7.0,3.2,9.4,163.8,77,56,72.6
P1014,Yotam Katz,male,34,right,one_handed,2.0,1.8,4.6,171.5,62,32,51.3
P1015,Yotam Friedman,male,10,right,one_handed,7.0,3.1,0.8,,91,54,58.9
P1016,Tamar Biton,female,36,right,,10.0,9.1,4.8,180.1,27,22,82.1
P1017,Noam Biton,male,53,right,one_handed,7.0,8.2,4.6,179.7,89,57,64.3
P1018,Gal Shapira,female,30,right,two_handed,9.0,9.2,6.0,169.6,15,12,83.2
P1019,Tamar Mizrahi,female,24,right,one_handed,6.0,5.4,,172.1,19,15,78.8
P1020,Lior Friedman,female,26,left,two_handed,6.0,6.3,1.5,171.2,89,68,76.7
P1021,Daniel Katz,male,35,left,,7.0,2.2,3.7,172.7,27,17,62.0
P1022,Hila Shapira,female,8,right,one_handed,,8.0,2.9,143.2,94,50,53.2
P1023,Lior Peretz,female,30,right,two_handed,4.0,9.4,,162.8,24,17,69.9
P1024,Tamar Katz,female,23,right,two_handed,9.0,1.3,7.3,168.5,26,25,97.1
P1025,Omer Levi,male,50,left,one_handed,9.0,3.4,2.0,178.7,112,77,68.8
P1026,Guy Levi,male,26,right,two_handed,4.0,2.7,11.4,172.9,29,24,83.0
P1027,Eitan Biton,male,48,right,two_handed,,2.2,4.8,165.4,110,67,60.6
P1028,Ariel Cohen,male,15,right,two_handed,6.0,4.8,6.4,174.2,48,33,68.2
P1029,Shira Azoulay,female,35,right,,7.0,5.7,5.8,163.4,97,61,63.3
P1030,Lior Azoulay,female,32,right,two_handed,7.0,3.1,4.6,149.9,113,69,61.3
P1031,Hila Cohen,female,18,left,two_handed,,0.2,5.3,169.1,22,16,70.6
P1032,Ariel Shapira,male,30,right,one_handed,6.0,3.5,0.0,183.7,46,30,65.2
P1033,Omer Avraham,male,43,right,two_handed,9.0,9.0,5.8,196.2,73,43,58.7
P1034,Ido Katz,male,24,right,two_handed,7.0,3.9,1.7,172.9,105,76,72.7
P1035,Eitan Shapira,male,8,right,one_handed,7.0,0.7,3.4,147.7,30,16,53.4
P1036,Guy Avraham,male,28,,two_handed,4.0,8.4,4.6,167.1,30,22,72.1
P1037,Ariel Levi,male,17,right,one_handed,10.0,2.4,7.5,177.7,50,38,76.6
P1038,Ron Cohen,male,24,right,,7.0,13.0,1.7,177.6,32,26,80.1
P1039,Adi Biton,female,27,right,one_handed,7.0,2.9,2.5,158.5,39,32,81.4
P1040,Ron Azoulay,male,8,right,two_handed,3.0,2.5,,150.6,24,12,49.0
P1041,Lior Avraham,female,9,left,two_handed,4.0,1.3,4.1,128.2,101,49,49.0
P1042,Yael Peretz,female,34,right,one_handed,,3.3,2.9,172.4,97,64,65.8
P1043,Yotam Cohen,male,22,right,two_handed,,3.8,5.3,169.8,25,20,78.5
P1044,Roni Azoulay,female,8,right,two_handed,2.0,3.0,0.6,140.7,69,24,35.3
P1045,Noa Peretz,female,37,right,two_handed,8.0,2.8,3.2,153.6,81,48,58.8
P1046,Guy Katz,male,31,right,two_handed,5.0,6.1,10.0,171.3,79,65,82.2
P1047,Ron Friedman,male,19,right,,9.0,3.2,2.9,173.8,118,87,74.1
P1048,Noa Mizrahi,female,12,right,two_handed,6.0,6.5,4.8,152.9,80,44,55.4
P1049,Omer Cohen,male,38,right,two_handed,6.0,8.3,6.7,179.8,85,56,65.8
P1050,Ariel Peretz,male,32,right,two_handed,8.0,6.3,4.7,187.5,13,10,77.1
P1051,Eitan Peretz,male,57,right,two_handed,4.0,1.9,12.1,181.9,18,9,48.1
P1052,Hila Katz,female,33,right,two_handed,,3.0,3.8,172.7,78,46,59.2
P1053,Adi Shapira,female,33,right,two_handed,6.0,3.9,5.5,176.6,109,78,71.8
P1054,Gal Mizrahi,female,26,right,two_handed,8.0,9.1,4.2,169.6,53,45,85.7
P1055,Yael Avraham,female,38,,two_handed,3.0,4.0,8.7,164.7,80,54,67.5
P1056,Eitan Cohen,male,36,right,two_handed,3.0,9.3,2.6,184.1,33,21,62.5
P1057,Yael Mizrahi,female,43,right,two_handed,8.0,1.0,12.7,173.6,60,45,75.8
P1058,Noam Katz,male,22,left,two_handed,5.0,5.0,2.1,181.2,92,81,87.7
P1059,Noam Katz,male,23,,two_handed,5.0,8.2,,164.4,82,72,88.2
P1060,Hila Katz,female,22,right,two_handed,2.0,6.7,1.5,158.3,22,14,62.1
P1061,Daniel Levi,male,37,left,two_handed,5.0,2.6,5.6,173.8,106,72,67.7
P1062,Yael Avraham,female,46,right,two_handed,6.0,4.5,,171.2,111,56,50.1
P1063,Roni Biton,female,22,right,one_handed,8.0,0.7,6.6,164.8,62,49,78.8
P1064,Shira Azoulay,female,23,left,two_handed,4.0,4.7,,174.1,47,33,70.6
P1065,Hila Friedman,female,32,right,two_handed,9.0,3.7,6.4,175.5,68,54,80.0
P1066,Adi Azoulay,female,25,right,two_handed,5.0,1.8,1.4,174.6,98,63,63.8
P1067,Omer Levi,male,39,right,two_handed,5.0,3.4,0.8,185.6,59,28,47.8
P1068,Guy Biton,male,8,right,two_handed,9.0,12.6,1.2,,13,9,68.4
P1069,Ron Katz,male,18,right,two_handed,6.0,1.2,1.2,179.9,17,11,62.5
P1070,Omer Peretz,male,19,left,two_handed,5.0,5.4,1.4,,99,59,59.3
P1071,Omer Friedman,male,8,left,two_handed,6.0,6.5,2.2,138.8,96,50,51.8
P1072,Adi Avraham,female,16,right,one_handed,9.0,4.7,2.2,162.7,94,59,63.1
P1073,Ido Azoulay,male,17,right,one_handed,9.0,7.8,,186.6,23,16,71.6
P1074,Noam Levi,male,26,right,two_handed,4.0,3.4,1.8,,28,19,69.5
P1075,Ron Azoulay,male,41,left,two_handed,6.0,2.7,1.9,,53,31,57.7
P1076,Guy Biton,male,25,right,one_handed,6.0,1.9,3.0,177.4,35,27,77.7
P1077,Tamar Biton,female,16,left,two_handed,4.0,4.3,7.3,184.6,52,37,70.4
P1078,Noa Avraham,female,27,right,one_handed,,5.2,2.5,166.4,71,55,77.1
P1079,Maya Mizrahi,female,41,right,two_handed,6.0,6.3,3.4,165.2,40,24,59.1
P1080,Lior Azoulay,female,16,right,one_handed,8.0,4.6,3.9,154.8,23,16,69.4
P1081,Noam Azoulay,male,17,right,one_handed,8.0,5.5,1.6,184.9,54,40,74.7
P1082,Lior Azoulay,female,35,right,two_handed,5.0,3.7,2.7,161.0,89,55,62.3
P1083,Ariel Azoulay,male,25,right,two_handed,6.0,1.2,2.0,170.8,77,57,73.4
P1084,Guy Friedman,male,36,left,two_handed,,4.5,6.8,186.2,45,35,78.6
P1085,Ido Biton,male,28,right,two_handed,5.0,6.9,6.4,185.3,44,29,65.3
P1086,Lior Shapira,female,36,right,two_handed,7.0,2.0,1.9,174.1,74,43,57.7
P1087,Ron Cohen,male,16,,one_handed,6.0,5.3,3.4,173.1,28,18,63.0
P1088,Guy Shapira,male,28,right,two_handed,4.0,13.9,5.5,175.6,101,85,84.0
P1089,Ron Biton,male,25,left,two_handed,4.0,4.2,,175.5,105,87,83.0
P1090,Ariel Friedman,male,13,right,one_handed,9.0,4.4,4.9,173.3,12,7,61.8
P1091,Adi Peretz,female,9,right,two_handed,6.0,1.1,1.6,156.4,116,66,57.2
P1092,Omer Peretz,male,36,right,two_handed,9.0,1.8,10.4,178.9,12,9,70.9
P1093,Yotam Cohen,male,24,left,one_handed,5.0,2.3,2.2,191.8,60,40,66.6
P1094,Yotam Biton,male,16,,two_handed,7.0,6.7,2.1,183.2,83,55,66.2
P1095,Lior Biton,female,27,right,two_handed,10.0,2.1,1.1,163.1,45,35,77.6
P1096,Eitan Mizrahi,male,42,right,two_handed,4.0,0.7,3.1,182.6,32,13,39.6
